zcta,total_pop,pct_white_nh,pct_black_nh,pct_hispanic,pct_asian_nh,pct_aian_nh,pct_nhpi_nh,median_hh_income,pct_below_poverty,pct_uninsured_adults_19_64,median_age,is_majority_minority,area_sq_km,low_spatial_precision,pw_centroid_lat,pw_centroid_lon,sas_score,sas_score_aggressive,sas_score_flat,best_facility_id,best_facility_name,best_facility_type,socioeconomic_vulnerability_flag,clinical_risk_flag,double_jeopardy_flag,best_facility_drive_miles,nearest_csc_name,nearest_csc_drive_mins,nearest_csc_drive_miles
93461,1369,35.792549306062824,0.4382761139517896,56.537618699780865,0.0,0.0,0.6574141709276844,72120.0,6.281957633308985,11.8563,37.1,1,764.3965668625167,1,35.657398710246184,-120.3616280640719,50,55.0,70.0,,FRENCH HOSPITAL MEDICAL CENTER,CSC,0,0,0,48.0,FRENCH HOSPITAL MEDICAL CENTER,51.3,48.0
93463,8059,70.62911031145303,2.494105968482442,21.106837076560367,2.1590768085370393,0.0,0.0,122321.0,6.703629032258064,11.6619,53.6,0,88.22808508638438,0,34.60270636408201,-120.13401951613788,65,55.0,70.0,050357,GOLETA VALLEY COTTAGE HOSPITAL,CSC,0,0,0,32.9,GOLETA VALLEY COTTAGE HOSPITAL,42.6,32.9
93465,9829,77.95299623562926,0.0,15.37287618272459,1.251398921558653,0.1627835995523451,0.0,128684.0,3.610368236988274,4.8739,47.1,0,219.22203785615426,1,35.549894464213004,-120.7029305222705,85,100.0,100.0,,FRENCH HOSPITAL MEDICAL CENTER,CSC,0,0,0,22.8,FRENCH HOSPITAL MEDICAL CENTER,26.0,22.8
93501,5404,30.97705403404885,12.046632124352332,49.907475943745375,1.5173945225758698,3.571428571428571,0.0,47351.0,27.962616822429908,16.0608,39.5,1,575.2726536060364,1,35.03528949281012,-118.17783929230777,85,50.0,50.0,050056,ANTELOPE VALLEY HOSPITAL,CSC,0,0,0,26.2,ANTELOPE VALLEY HOSPITAL,27.5,26.2
93505,14952,29.4609416800428,22.485286249331192,40.04146602461209,1.7188336008560727,0.8360085607276619,0.09363295880149813,55282.0,23.330739299610894,6.8937,34.4,1,168.51338499878608,0,35.128598051438175,-117.95228737580646,50,27.5,35.0,050056,ANTELOPE VALLEY HOSPITAL,CSC,0,0,0,42.7,ANTELOPE VALLEY HOSPITAL,47.4,42.7
93510,7397,62.82276598621063,1.7709882384750575,29.674192240097337,2.8254697850479924,0.05407597674733,0.0,123438.0,11.524112201188338,9.0222,46.3,0,207.43499823491408,1,34.48833980019759,-118.19025307125536,85,52.5,60.0,050056,ANTELOPE VALLEY HOSPITAL,CSC,0,0,0,21.6,ANTELOPE VALLEY HOSPITAL,24.5,21.6
93512,313,68.69009584664538,0.0,7.348242811501597,0.0,21.72523961661342,0.0,62813.0,9.904153354632587,7.6023,50.3,0,261.41402951250456,1,37.81003677201645,-118.49854246213994,8,-5.0,5.0,,VALLEY CHILDREN'S HOSPITAL,PSC,0,1,0,45.7,,,
93513,1649,63.311097634930256,0.0,13.159490600363858,0.7277137659187386,17.22255912674348,0.1212856276531231,61761.0,9.642207398423288,4.7035,48.2,0,1031.5686293037452,1,37.168189374598924,-118.28771994117642,8,25.0,35.0,,ADVENTIST HEALTH REEDLEY,PSC,0,1,0,15.8,,,
93514,14692,59.42689899264906,0.4083855159270351,25.456030492785185,1.5314456847263818,6.7996188401851345,0.4288047917233868,71470.0,12.285217391304348,9.7052,43.2,0,2620.5929347846195,1,37.37844318644938,-118.42551388330892,25,25.0,35.0,,SAINT AGNES MEDICAL CENTER,CSC,0,1,0,213.4,SAINT AGNES MEDICAL CENTER,291.4,213.4
93516,2583,50.174216027874564,5.381339527680991,30.855594270228416,4.761904761904762,2.710027100271003,0.11614401858304298,71786.0,26.24854819976771,5.2411,35.1,0,73.99723316804973,0,35.00472385988644,-117.66461827842951,50,27.5,35.0,050056,ANTELOPE VALLEY HOSPITAL,CSC,0,0,0,57.2,ANTELOPE VALLEY HOSPITAL,57.0,57.2
